[0.000000] [mapper_bare_metal/INFO] Process ID: 1217821, Thread ID: 1217854, Task ID: Inter, Core ID: 0 => read: Task14->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217821, Thread ID: 1217854, Task ID: Inter, Core ID: 0 => read: Task12->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217821, Thread ID: 1217854, Task ID: Inter, Core ID: 0 => read: Task10->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217821, Thread ID: 1217854, Task ID: Inter, Core ID: 0 => read: Task13->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217821, Thread ID: 1217854, Task ID: Inter, Core ID: 0 => read: Task16->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217821, Thread ID: 1217854, Task ID: Inter, Core ID: 0 => read: Task21->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217943, Thread ID: 1217976, Task ID: Inter, Core ID: 0 => read: Task14->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217943, Thread ID: 1217976, Task ID: Inter, Core ID: 0 => read: Task11->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217943, Thread ID: 1217976, Task ID: Inter, Core ID: 0 => read: Task13->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217943, Thread ID: 1217976, Task ID: Inter, Core ID: 0 => read: Task16->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
