[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21185, Task ID: mDiffFit_ID0000503, Core ID: 2 => read: mProject_ID0000419->mDiffFit_ID0000503, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21186, Task ID: mDiffFit_ID0000476, Core ID: 26 => read: mProject_ID0000441->mDiffFit_ID0000476, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21190, Task ID: mDiffFit_ID0000501, Core ID: 4 => read: mProject_ID0000419->mDiffFit_ID0000501, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21190, Task ID: mDiffFit_ID0000501, Core ID: 4 => read: mProject_ID0000425->mDiffFit_ID0000501, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21192, Task ID: mDiffFit_ID0000525, Core ID: 31 => read: mProject_ID0000442->mDiffFit_ID0000525, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21196, Task ID: mDiffFit_ID0000481, Core ID: 25 => read: mProject_ID0000416->mDiffFit_ID0000481, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21197, Task ID: mDiffFit_ID0000524, Core ID: 24 => read: mProject_ID0000441->mDiffFit_ID0000524, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21196, Task ID: mDiffFit_ID0000481, Core ID: 25 => read: mProject_ID0000424->mDiffFit_ID0000481, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21198, Task ID: mDiffFit_ID0000527, Core ID: 5 => read: mProject_ID0000431->mDiffFit_ID0000527, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21202, Task ID: mDiffFit_ID0000508, Core ID: 7 => read: mProject_ID0000420->mDiffFit_ID0000508, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
